comissioning	week	days
London	1-Dec	0.00
London	8-Dec	0.14
London	15-Dec	0.00
London	22-Dec	0.00
London	30-Dec	0.14
London	6-Jan	0.43
London	13-Jan	0.00
Midlands And East Of England	1-Dec	1.71
Midlands And East Of England	8-Dec	3.43
Midlands And East Of England	15-Dec	2.43
Midlands And East Of England	22-Dec	0.57
Midlands And East Of England	30-Dec	6.14
Midlands And East Of England	6-Jan	10.86
Midlands And East Of England	13-Jan	10.60
South Of England	1-Dec	1.71
South Of England	8-Dec	4.14
South Of England	15-Dec	8.14
South Of England	22-Dec	4.71
South Of England	30-Dec	8.71
South Of England	6-Jan	20.00
South Of England	13-Jan	19.80
North Of England	1-Dec	2.14
North Of England	8-Dec	1.71
North Of England	15-Dec	0.57
North Of England	22-Dec	0.00
North Of England	30-Dec	6.14
North Of England	6-Jan	11.43
North Of England	13-Jan	4.00